Date,Binance_USDT,Gate_USDT,Wallet_USDT,Total_USDT,Total_IDR,Total_with_other_usdt,Total_with_other_idr
2024-03-29 21:47:33.900498,16064.636559694402,2430.37544944,613.3125673492735,19108.324576483672,304720452.0211851,20108.324576483672,320667452.0211851
2024-03-29 22:17:52.652110,15875.2765170912,2429.69954122,610.8179882046358,18915.794046515835,301706915.0419276,19915.794046515835,317656915.0419276
2024-03-30 03:40:53.247430,15778.7180990736,2426.26149357,603.7140482875535,18808.693640931153,299979854.87921095,19808.693640931153,315928854.87921095
2024-03-30 08:46:01.161756,16408.5208428,2413.65421852,606.7334385463571,19428.90849986636,309657943.67087007,20410.08349986636,325295910.82087004
2024-03-30 12:39:02.197756,16314.020532460001,2403.97592518,606.3916207812096,19324.388078421212,308223989.85081834,20301.338078421213,323806342.35081834
2024-03-30 13:16:19.448364,16268.7879867392,2406.74394773,604.4909068447071,19280.02284131391,307689884.5245287,20254.697841313908,323244722.8495287
2024-03-30 16:35:29.745473,16287.718861181402,2390.10377375,605.9479482274573,19283.77058315886,307711127.1954659,20254.22058315886,323196597.84546596
2024-03-30 18:02:34.391021,16327.439341562998,2393.30403314,609.6129942648731,19330.35636896787,308628469.786941,20298.20636896787,324081162.886941
2024-03-30 19:00:42.898944,16428.1872434,2398.54891172,615.5378355274312,19442.27399064743,310357019.71270496,20416.62399064743,325910568.7627049
2024-03-30 20:45:38.488992,16909.25376654,2421.75931968,0.0006797507993825816,19331.0137659708,308426324.6360641,20301.1387659708,323904669.0110641
2024-03-30 21:07:49.895754,16895.663413785,2429.75733504,0.0006796989841350043,19325.421428523987,308337098.8921002,20290.346428523986,323732477.2671002
2024-03-30 22:52:22.274222,16915.9433911752,2416.9461224,0.0006789121600051284,19332.89019248736,308088938.10747856,20290.01519248736,323341682.10747856
2024-03-31 03:44:48.900270,16777.8265054312,2403.7437234,0.00067340631017924,19181.57090223751,306252961.0251241,20149.420902237507,321705654.12512404
2024-03-31 04:06:26.264817,16736.3097624639,2403.60981729,0.000673770935995524,19139.920253524837,304745810.2766225,20103.545253524837,320088647.5266225
2024-03-31 09:55:39.848330,16646.8635179004,2393.65506412,0.0006780946305433548,19040.519260115034,304039011.54551685,19996.344260115035,319301625.1455169
2024-03-31 10:16:08.887117,16644.635685590398,2387.58154979,0.0006771216553388496,19032.217912502052,303601940.14023274,19985.76791250205,318812969.7402327
2024-03-31 17:55:26.880412,16779.6162900101,2385.04460487,0.0006920003077264804,19164.661586880407,305139741.78630984,20116.261586880406,320291116.9863098
2024-03-31 21:20:41.501481,16951.677035951103,2395.23738342,0.00069624340077808,19346.915115614505,308486561.51847327,20309.565115614507,323836015.7684733
2024-03-31 22:27:29.074130,17075.412209086102,2421.08876532,0.0006940556458803759,19496.501668461748,310949705.1102964,20455.90166846175,326251175.71029645
2024-03-31 23:31:36.508419,17095.1327720157,2429.74527139,0.0006956331323066152,19524.878739038828,312163761.2797528,20490.45373903883,327601374.3797528
2024-04-01 03:28:28.730749,17071.0557805469,2417.91078286,0.0006975042384691252,19488.967260911137,310381292.5972708,20460.717260911137,325857383.0972708
2024-04-01 10:07:41.895216,17008.7522559383,2457.25661608,0.0006929790401807163,19466.00956499734,309626348.1408477,20452.70956499734,325320798.34084773
2024-04-01 10:07:43.019621,17008.7522559383,2458.31701646,0.0006929790401807163,19467.06996537734,309643214.86929196,20453.76996537734,325337665.069292
2024-04-01 13:05:53.237693,16454.1500110502,2400.93210154,0.0006757015337385856,18855.082788291733,300700860.30767655,19802.782788291734,315814779.9076766
2024-04-01 13:47:31.335616,16494.979086031402,2406.1198317,0.000680007956537224,18901.09959773936,301453637.4843451,19853.34959773936,316641072.7343451
2024-04-01 14:06:48.102640,16557.059281632002,2405.76916895,0.0006817293742067332,18962.829132311374,302438161.8312341,19921.254132311373,317724082.1562341
2024-04-01 14:59:35.996445,16613.4748101282,2398.13139935,0.000680516513596778,19011.606889994713,303102048.6471857,19966.781889994712,318330403.6721857
2024-04-01 15:45:46.991364,16430.8053438,2380.24423673,0.0006793689018171052,18811.0502598989,300055062.69564736,19760.3752598989,315197745.77064735
2024-04-01 22:17:30.685049,16092.629778752098,2290.89464361,0.0006666377035790628,18383.525088999802,293750347.39712787,19307.8250889998,308519737.09712785
2024-04-02 10:42:02.833819,15482.94162304,2243.45255566,0.0006457005053913869,17726.394824400504,285040428.7763601,18611.369824400503,299270826.7763601
2024-04-02 11:24:24.652316,15444.439465887599,2224.65784778,0.0006447313683533688,17669.09795839897,283500676.74251145,18555.04795839897,297715744.49251145
2024-04-02 15:36:46.576038,15351.8154040614,2231.92426766,0.000644658443190112,17583.740316379844,281357428.8023939,18477.815316379845,295663522.8773939
2024-04-03 02:40:35.570974,15282.672121025102,2153.48226391,0.0006288720644282585,17436.155013807165,279484128.71631503,18333.480013807166,293867351.14131504
2024-04-03 08:33:52.475119,14947.860455,2139.27283821,0.0006305512622664084,17087.133923761263,274009279.6014356,17964.958923761264,288086081.30143565
2024-04-03 09:59:32.152427,15185.2924335504,2153.56463103,0.0006348883903969444,17338.85769946879,278184632.9302773,18233.90769946879,292544815.1302773
2024-04-03 10:16:02.844050,15178.104660673502,2159.85374427,0.0006347578927363796,17337.959039701393,278100862.9968103,18229.43403970139,292400121.9968103
2024-04-03 10:52:13.478049,15382.804301472,2173.7644471,0.0006364486050739912,17556.569385020604,280606648.4807843,18457.144385020605,295000538.7057843
2024-04-03 11:20:09.799252,15267.481891200001,2187.3575079,0.000635715515274936,17454.840034815516,279102892.1567001,18358.340034815516,293549857.1567001
2024-04-03 11:35:47.711685,15163.4309173193,2186.96329405,0.0006367383866437748,17350.394848107688,277294010.46245706,18254.869848107686,291749329.91245705
2024-04-03 11:53:09.363306,15237.53127804,2193.23572241,0.0006362950784145031,17430.767636745077,278630820.67337006,18346.942636745076,293275878.04837006
2024-04-03 12:09:03.758789,15064.2437531046,2192.20193046,0.0006357500587733209,17256.446319314655,275844294.4142448,18170.671319314653,290458181.0392447
2024-04-03 13:07:17.863281,15176.64983176,2174.0060248,0.0006344470012509164,17350.656491007,277436997.29120195,18259.681491007002,291972307.04120195
2024-04-03 13:16:18.334349,15215.868813740402,2172.08479305,0.000633671691620502,17387.95424046209,278033388.30498886,18299.57924046209,292610272.05498886
2024-04-03 14:46:00.678554,15555.136137549502,2183.34648792,0.0006357711686890004,17738.483261240668,283638347.3472383,18654.658261240667,298287985.59723824
2024-04-03 14:52:35.084953,15517.047853790402,2186.63495631,0.0006349843445591244,17703.68344508475,283081898.2869051,18616.60844508475,297679569.0369051
2024-04-03 14:55:17.150405,15570.796272012802,2187.60596791,0.0006347790026520592,17758.402874701806,283956861.96648186,18669.702874701805,298528548.96648186
2024-04-03 14:58:05.580116,15709.503327606,2186.52119166,0.0006346792103233919,17896.02515394521,286157442.2115839,18807.97515394521,300739522.7115839
